索引,code,name,block_name,weight,date
1,sse.600519,贵州茅台,gzmt,0.06239,2023-12-29
2,sse.601318,中国平安,zgpa,0.02496,2023-12-29
3,szse.300750,宁德时代,ndsd,0.0248,2023-12-29
4,sse.600036,招商银行,zsyh,0.01982,2023-12-29
5,szse.000858,五粮液,wly,0.01567,2023-12-29
6,szse.000333,美的集团,mdjt,0.01546,2023-12-29
7,sse.601166,兴业银行,xyyh,0.01357,2023-12-29
8,sse.600900,长江电力,cjdl,0.01315,2023-12-29
9,sse.601899,紫金矿业,zjky,0.01181,2023-12-29
10,sse.600276,恒瑞医药,hryy,0.0116199999999999,2023-12-29
