索引,time,code,open,high,low,close,volume,amount,open_interest,name,weight,return
1,2020-01-02 15:00:00,szse.000333,49.511552951604784,50.54972564390744,49.30054224178717,50.43155964640958,346225.0,2050141335.0,,美的集团,0.02052,
2,2020-01-03 15:00:00,szse.000333,50.558166072300146,50.60880864265638,49.10641238875497,49.173935815896606,270042.0,1587220595.0,,美的集团,0.02052,-0.024937238493723868
3,2020-01-06 15:00:00,szse.000333,48.785676109832195,49.12329324554038,47.26639899914538,48.27925040626992,288425.0,1656276948.0,,美的集团,0.02052,-0.018194301407483904
4,2020-01-07 15:00:00,szse.000333,48.44805897412401,49.131733673933084,48.279250406269924,48.9966868196498,225265.0,1304633782.0,,美的集团,0.02052,0.014860139860139787
5,2020-01-08 15:00:00,szse.000333,48.54090368644376,49.781646660171326,48.4227376889459,49.19081667268201,253210.0,1471083460.0,,美的集团,0.02052,0.003962101636520332
6,2020-01-09 15:00:00,szse.000333,49.629718949102646,50.41467878962417,49.37650609732151,50.178346794628446,296353.0,1757281375.0,,美的集团,0.02052,0.020075497597803693
7,2020-01-10 15:00:00,szse.000333,50.61724907104908,51.056151347469715,50.178346794628446,50.634129927834486,280706.0,1683152339.0,,美的集团,0.02052,0.0090832632464255
8,2020-01-13 15:00:00,szse.000333,51.06459177586242,51.199638630145685,50.22054893659197,50.73541506854694,279511.0,1678723651.0,,美的集团,0.02052,0.0020003333888982677
9,2020-01-14 15:00:00,szse.000333,51.06459177586242,51.317804627643554,50.406238361231466,50.54128521551474,162500.0,976486535.0,,美的集团,0.02052,-0.003826318416236818
10,2020-01-15 15:00:00,szse.000333,50.558166072300146,50.64257035622719,49.69724237624429,50.22054893659197,214899.0,1272651578.0,,美的集团,0.02052,-0.006346025384101561
11,2020-01-16 15:00:00,szse.000333,50.64257035622719,50.69321292658342,49.99265736998894,50.35559579087524,199813.0,1192330868.0,,美的集团,0.02052,0.0026890756302522245
12,2020-01-17 15:00:00,szse.000333,50.634129927834486,51.48661319549765,50.212108508199265,50.90422363640104,217132.0,1312054699.0,,美的集团,0.02052,0.010895072075092216
13,2020-01-20 15:00:00,szse.000333,51.317804627643554,51.45285148192683,50.49908307355121,50.81137892408128,201910.0,1217493005.0,,美的集团,0.02052,-0.0018239097993700826
14,2020-01-21 15:00:00,szse.000333,50.38935750444606,50.440000074802285,48.9798059628644,49.03888896161333,276432.0,1617441935.0,,美的集团,0.02052,-0.03488372093023251
15,2020-01-22 15:00:00,szse.000333,48.54934411483647,48.92072296411547,47.26639899914538,48.51558240126565,411606.0,2335993233.0,,美的集团,0.02052,-0.010671256454389044
16,2020-01-23 15:00:00,szse.000333,47.35080328307242,47.89099070020551,46.42235615987492,46.50676044380197,596536.0,3313820978.0,,美的集团,0.02052,-0.04140570633263729
17,2020-02-03 15:00:00,szse.000333,41.856084399421775,44.38821291723314,41.856084399421775,42.36251010298405,705067.0,3565939364.0,,美的集团,0.02052,-0.08911070780399277
18,2020-02-04 15:00:00,szse.000333,42.45535481530379,44.58234277026534,42.45535481530379,44.557021485087226,404130.0,2097010018.0,,美的集团,0.02052,0.05180314803745767
19,2020-02-05 15:00:00,szse.000333,44.666747054192385,45.130970615791135,44.27004691973527,44.624544912228856,348950.0,1848774201.0,,美的集团,0.02052,0.0015154385300244488
20,2020-02-06 15:00:00,szse.000333,44.624544912228856,45.544551607033654,44.19408306420093,45.40106432435768,393667.0,2086495959.0,,美的集团,0.02052,0.017401172687724786
21,2020-02-07 15:00:00,szse.000333,45.156291900969244,45.18161318614736,44.05903620991766,44.590783198658045,344090.0,1811882957.0,,美的集团,0.02052,-0.017847183491355167
22,2020-02-10 15:00:00,szse.000333,44.1434404938447,44.54858105669452,43.65389564706784,44.1434404938447,346047.0,1804543411.0,,美的集团,0.02052,-0.010032178686352533
23,2020-02-11 15:00:00,szse.000333,44.894638620795405,46.41391573148222,44.56546191347993,46.15226245130838,493882.0,2684341234.0,,美的集团,0.02052,0.04550669216061198
24,2020-02-12 15:00:00,szse.000333,46.05941773898863,46.72621158201229,45.595194177389885,46.32951144755518,234337.0,1284759463.0,,美的集团,0.02052,0.003840526700804592
25,2020-02-13 15:00:00,szse.000333,46.050977310595925,46.06785816738133,45.156291900969244,45.40950475275038,319306.0,1723256903.0,,美的集团,0.02052,-0.019857897613408726
26,2020-02-14 15:00:00,szse.000333,45.156291900969244,45.544551607033654,44.8861981924027,45.35886218239416,210043.0,1125281556.0,,美的集团,0.02052,-0.0011152416356875472
27,2020-02-17 15:00:00,szse.000333,45.021245046685976,45.932811313098064,44.93684076275893,45.91593045631265,325052.0,1751927715.0,,美的集团,0.02052,0.01228135467063618
28,2020-02-18 15:00:00,szse.000333,45.91593045631265,45.91593045631265,45.00436418990056,45.18161318614736,332035.0,1783036933.0,,美的集团,0.02052,-0.015992647058823528
29,2020-02-19 15:00:00,szse.000333,45.03812590347138,45.468587751499314,44.87775776401,45.19005361454006,237328.0,1270519685.0,,美的集团,0.02052,0.0001868111339435874
30,2020-02-20 15:00:00,szse.000333,45.32510046882334,46.40547530308952,45.00436418990056,46.30419016237706,370411.0,2013322150.0,,美的集团,0.02052,0.02465446395218529
31,2020-02-21 15:00:00,szse.000333,46.0003347402397,46.27042844880624,45.595194177389885,45.8146453156002,297798.0,1616397369.0,,美的集团,0.02052,-0.01057236602260292
32,2020-02-24 15:00:00,szse.000333,46.72621158201229,46.73465201040499,45.95813259827618,46.34639230434058,407824.0,2243496137.0,,美的集团,0.02052,0.01160648489314653
33,2020-02-25 15:00:00,szse.000333,45.57831332060447,45.96657302666888,45.40950475275038,45.94125174149077,315462.0,1706738502.0,,美的集团,0.02052,-0.00874157712620649
34,2020-02-26 15:00:00,szse.000333,45.32510046882334,46.69244986844147,44.91151947758082,45.83152617238561,387240.0,2107804633.0,,美的集团,0.02052,-0.002388388756200621
35,2020-02-27 15:00:00,szse.000333,45.83152617238561,46.59116472772902,45.75556231685127,46.34639230434058,284934.0,1563743469.0,,美的集团,0.02052,0.011233885819521117
36,2020-02-28 15:00:00,szse.000333,45.477028179892024,45.73024103167315,44.557021485087226,44.77647262329754,334057.0,1788324822.0,,美的集团,0.02052,-0.033873611364050205
37,2020-03-02 15:00:00,szse.000333,44.77647262329754,46.211345450057316,44.77647262329754,45.86528788595643,318934.0,1725854576.0,,美的集团,0.02052,0.02431668237511775
38,2020-03-03 15:00:00,szse.000333,46.008775168632404,46.42235615987492,45.55299203542636,46.0003347402397,264999.0,1441435067.0,,美的集团,0.02052,0.002944423997055523
39,2020-03-04 15:00:00,szse.000333,45.57831332060447,45.94969216988347,45.249136613289,45.78932403042209,239084.0,1290728835.0,,美的集团,0.02052,-0.004587155963302725
40,2020-03-05 15:00:00,szse.000333,46.04253688220322,47.94163327056174,45.87372831434913,47.72218213235142,575718.0,3214972954.0,,美的集团,0.02052,0.04221198156682027
41,2020-03-06 15:00:00,szse.000333,47.1144712880767,47.519611850926516,46.87813929308097,47.09759043129129,280243.0,1565437998.0,,美的集团,0.02052,-0.013088079235939132
42,2020-03-09 15:00:00,szse.000333,45.91593045631265,45.975013455061585,45.41794518114309,45.48546860828473,356342.0,1925269108.0,,美的集团,0.02052,-0.0342293906810035
43,2020-03-10 15:00:00,szse.000333,45.48546860828473,46.99630529057883,45.48546860828473,46.69244986844147,375631.0,2061033028.0,,美的集团,0.02052,0.026535535349786477
44,2020-03-11 15:00:00,szse.000333,46.52364130058738,46.69244986844147,45.96657302666888,45.97501345506159,192606.0,1053884394.0,,美的集团,0.02052,-0.015365148228488668
45,2020-03-12 15:00:00,szse.000333,45.45170689471391,45.468587751499314,44.632985340621566,44.87775776401,344055.0,1833239648.0,,美的集团,0.02052,-0.023866348448687402
46,2020-03-13 15:00:00,szse.000333,42.936459233687955,44.7005087677632,42.26122496227159,43.80582335813652,452083.0,2323212180.0,,美的集团,0.02052,-0.02388564980252028
47,2020-03-16 15:00:00,szse.000333,44.05903620991766,44.11811920866659,42.202141963522664,42.28654624744971,396679.0,2019157775.0,,美的集团,0.02052,-0.034682080924855474
