索引,code,name,block_name,weight,date
1,sse.601318,中国平安,zgpa,0.06469,2018-12-28
2,sse.600519,贵州茅台,gzmt,0.03156,2018-12-28
3,sse.600036,招商银行,zsyh,0.02767,2018-12-28
4,sse.601166,兴业银行,xyyh,0.01982,2018-12-28
5,szse.000651,格力电器,gldq,0.01828,2018-12-28
6,szse.000333,美的集团,mdjt,0.0182,2018-12-28
7,sse.601328,交通银行,jtyh,0.01693,2018-12-28
8,sse.600016,民生银行,msyh,0.01514,2018-12-28
9,sse.600887,伊利股份,ylgf,0.0148,2018-12-28
10,sse.601288,农业银行,nyyh,0.01468,2018-12-28
