索引,time,code,open,high,low,close,volume,amount,open_interest,name,weight,return
1,2021-01-04 15:00:00,szse.000333,85.73184052900177,88.37574461002761,84.97767772556162,85.82719444667812,338826.0,3379358338.0,,美的集团,0.02467,
2,2021-01-05 15:00:00,szse.000333,85.01235187744392,88.36707607205703,84.08481831459223,88.02033455323398,351148.0,3515823440.0,,美的集团,0.02467,0.025552974447025534
3,2021-01-06 15:00:00,szse.000333,89.28594109693815,90.84627793164191,86.38198087679501,87.51755935094053,360203.0,3662399226.0,,美的集团,0.02467,-0.005712034666141563
4,2021-01-07 15:00:00,szse.000333,88.41908729988049,91.60044073508207,87.72560426223437,90.86361500758306,451400.0,4687111402.0,,美的集团,0.02467,0.038232963549920784
5,2021-01-08 15:00:00,szse.000333,90.15279489399579,90.75959255193615,87.76894695208725,89.29460963490872,330690.0,3409516335.0,,美的集团,0.02467,-0.01726769700438835
6,2021-01-11 15:00:00,szse.000333,89.45931185634967,90.43885664702482,86.68537970576519,87.55223350282284,341891.0,3506431349.0,,美的集团,0.02467,-0.019512668672944322
7,2021-01-12 15:00:00,szse.000333,86.95410438285306,90.39551395717194,86.95410438285306,90.23948027370156,355295.0,3670971677.0,,美的集团,0.02467,0.03069306930693072
8,2021-01-13 15:00:00,szse.000333,91.01964869105345,91.63511488696437,88.4537614517628,89.58067138793774,343487.0,3560584734.0,,美的集团,0.02467,-0.0073006724303554815
9,2021-01-14 15:00:00,szse.000333,89.80605337517272,90.49086787484828,86.15659888956002,86.33863818694212,373815.0,3780641251.0,,美的集团,0.02467,-0.03619121347009879
10,2021-01-15 15:00:00,szse.000333,85.84453152261926,86.83274485126499,83.89411047923954,86.41665502867731,357438.0,3524028265.0,,美的集团,0.02467,0.000903614457831381
11,2021-01-18 15:00:00,szse.000333,86.15659888956002,86.92809876894133,84.52691375109164,85.92254836435445,286771.0,2849767542.0,,美的集团,0.02467,-0.005717724947336689
12,2021-01-19 15:00:00,szse.000333,86.41665502867731,86.78073362344153,81.90034674600695,82.22108265091828,423078.0,4087923629.0,,美的集团,0.02467,-0.04307909604519777
13,2021-01-20 15:00:00,szse.000333,83.21796451753458,85.05569456729681,82.78453761900575,83.46068358071072,322023.0,3113133925.0,,美的集团,0.02467,0.015076436478650646
