索引,code,name,block_name,weight,date
1,sse.601318,中国平安,zgpa,0.06715,2019-12-31
2,sse.600519,贵州茅台,gzmt,0.04312,2019-12-31
3,sse.600036,招商银行,zsyh,0.02812,2019-12-31
4,szse.000651,格力电器,gldq,0.02289,2019-12-31
5,sse.601166,兴业银行,xyyh,0.02088,2019-12-31
6,szse.000333,美的集团,mdjt,0.02052,2019-12-31
7,sse.600276,恒瑞医药,hryy,0.01965,2019-12-31
8,szse.000858,五粮液,wly,0.01872,2019-12-31
9,sse.600030,中信证券,zxzq,0.01444,2019-12-31
10,sse.600887,伊利股份,ylgf,0.01368,2019-12-31
