索引,time,code,open,high,low,close,volume,amount,open_interest,name,weight,return
1,2017-01-03 15:00:00,szse.000002,15.017394730683995,15.258549974534393,15.017394730683995,15.148933954602397,217016.0,449757486.22,,万科A,0.0152,
2,2017-01-04 15:00:00,szse.000002,15.156241689264526,15.309704117169327,14.94431738406266,15.236626770547996,331554.0,686745321.32,,万科A,0.0152,0.005788712011577379
3,2017-01-05 15:00:00,szse.000002,15.236626770547995,15.514320687709061,15.185472627913061,15.29508864784506,310125.0,651486106.16,,万科A,0.0152,0.003836930455635157
4,2017-01-06 15:00:00,szse.000002,15.302396382507196,15.375473729128528,15.061241138656793,15.083164342643194,235919.0,489032727.73,,万科A,0.0152,-0.013855709507883396
5,2017-01-09 15:00:00,szse.000002,15.053933403994662,15.16354942392666,15.002779261359729,15.09777981196746,150954.0,311673794.27,,万科A,0.0152,0.0009689922480620172
6,2017-01-10 15:00:00,szse.000002,15.105087546629596,15.119703015953862,14.995471526697594,15.039317934670391,159171.0,327766881.96,,万科A,0.0152,-0.0038722168441434057
7,2017-01-11 15:00:00,szse.000002,14.995471526697594,15.075856607981061,14.907778710751993,14.907778710751993,168652.0,345421493.63,,万科A,0.0152,-0.008746355685131157
8,2017-01-13 15:00:00,szse.000002,15.346242790479995,16.36932564317866,15.27316544385866,15.938169298112792,1064266.0,2322228972.63,,万科A,0.0152,0.0691176470588235
9,2017-01-16 15:00:00,szse.000002,15.938169298112793,15.938169298112793,14.842009098792794,15.346242790479996,553240.0,1157108331.83,,万科A,0.0152,-0.03713892709766131
10,2017-01-17 15:00:00,szse.000002,15.148933954602395,15.317011851831461,14.900470976089862,15.200088097237328,321040.0,663297417.71,,万科A,0.0152,-0.009523809523809601
11,2017-01-18 15:00:00,szse.000002,15.105087546629596,15.477782014398393,15.002779261359729,15.287780913182928,324772.0,679288497.7,,万科A,0.0152,0.005769230769230749
12,2017-01-19 15:00:00,szse.000002,15.127010750615995,15.258549974534393,15.017394730683995,15.053933403994662,216888.0,448815811.98,,万科A,0.0152,-0.015296367112810683
13,2017-01-20 15:00:00,szse.000002,15.053933403994662,15.222011301223727,15.01008699602186,15.112395281291729,215053.0,444921456.6,,万科A,0.0152,0.003883495145631022
14,2017-01-23 15:00:00,szse.000002,15.127010750615995,15.236626770547995,15.127010750615995,15.156241689264526,156373.0,324581611.19,,万科A,0.0152,0.0029013539651836506
15,2017-01-24 15:00:00,szse.000002,15.178164893250928,15.200088097237328,15.090472077305327,15.119703015953862,159318.0,330140440.14,,万科A,0.0152,-0.0024108003857279403
16,2017-01-25 15:00:00,szse.000002,15.112395281291727,15.148933954602395,14.995471526697594,15.061241138656792,154647.0,319264481.88,,万科A,0.0152,-0.003866602223296489
17,2017-01-26 15:00:00,szse.000002,15.090472077305327,15.178164893250928,15.090472077305327,15.112395281291729,141248.0,292423712.74,,万科A,0.0152,0.003396409509946796
18,2017-02-03 15:00:00,szse.000002,15.119703015953862,15.192780362575194,15.083164342643194,15.112395281291729,108926.0,225512789.81,,万科A,0.0152,0.0
19,2017-02-06 15:00:00,szse.000002,15.112395281291727,15.156241689264526,15.053933403994662,15.134318485278127,141028.0,291578994.89,,万科A,0.0152,0.0014506769825917143
20,2017-02-07 15:00:00,szse.000002,15.046625669332528,15.214703566561594,15.024702465346127,15.083164342643194,174076.0,359724229.56,,万科A,0.0152,-0.0033800096571704463
