索引,code,name,block_name,weight,date
1,sse.600519,贵州茅台,gzmt,0.05118,2020-12-31
2,sse.601318,中国平安,zgpa,0.0480299999999999,2020-12-31
3,szse.000858,五粮液,wly,0.02888,2020-12-31
4,sse.600036,招商银行,zsyh,0.02773,2020-12-31
5,szse.000333,美的集团,mdjt,0.02467,2020-12-31
6,sse.600276,恒瑞医药,hryy,0.02121,2020-12-31
7,sse.601166,兴业银行,xyyh,0.01547,2020-12-31
8,szse.000651,格力电器,gldq,0.0152,2020-12-31
9,sse.601888,中国中免,zgzm,0.01406,2020-12-31
10,sse.600887,伊利股份,ylgf,0.01376,2020-12-31
