索引,code,name,block_name,weight,date
1,sse.601318,中国平安,zgpa,0.0425,2014-12-31
2,sse.600016,民生银行,msyh,0.035,2014-12-31
3,sse.600036,招商银行,zsyh,0.0325,2014-12-31
4,sse.600030,中信证券,zxzq,0.0317,2014-12-31
5,sse.600837,海通证券,htzq,0.0231,2014-12-31
6,sse.601166,兴业银行,xyyh,0.0224,2014-12-31
7,sse.600000,浦发银行,pfyh,0.0209,2014-12-31
8,szse.000002,万科A,wka,0.016,2014-12-31
9,sse.601668,中国建筑,zgjz,0.013,2014-12-31
10,sse.601328,交通银行,jtyh,0.0127,2014-12-31
