索引,time,code,open,high,low,close,volume,amount,open_interest,name,weight,return
1,2024/1/2 15:00,szse.000333,52.33249621,52.73483281,51.92058017,52.26544011,23905697,1305162004,,美的集团,0.01546,
2,2024/1/3 15:00,szse.000333,52.29417844,52.49534674,51.82478574,52.16006624,20689673,1126649739,,美的集团,0.01546,-0.0020161290094989903
3,2024/1/4 15:00,szse.000333,52.36123454,52.99347776,52.16006624,52.92642166,26702502,1467886385,,美的集团,0.01546,0.014692378197409317
4,2024/1/5 15:00,szse.000333,52.87852445,53.72151542,52.54324395,53.26170216,30042877,1669357551,,美的集团,0.01546,0.006334841644006106
5,2024/1/8 15:00,szse.000333,53.26170216,53.26170216,52.32291677,52.68693559,27809739,1531117699,,美的集团,0.01546,-0.010791366905124056
6,2024/1/9 15:00,szse.000333,52.40913175,53.00305721,51.83436518,52.84978612,21607041,1184711712,,美的集团,0.01546,0.0030909091253146226
7,2024/1/10 15:00,szse.000333,52.84978612,53.42455269,52.53366451,52.89768334,17820813,984854746.1,,美的集团,0.01546,0.0009062897604021902
8,2024/1/11 15:00,szse.000333,52.89768334,53.15632829,52.42829064,52.68693559,21236920,1168392665,,美的集团,0.01546,-0.00398406388887429
9,2024/1/12 15:00,szse.000333,52.59114117,53.36707603,52.28459899,52.68693559,24361080,1343879865,,美的集团,0.01546,0.0
10,2024/1/15 15:00,szse.000333,52.53366465,53.62572055,52.36123439,53.52992759,191241,1063527104,,美的集团,0.01546,0.016000019560067136
11,2024/1/16 15:00,szse.000333,53.27128219,54.55492768,52.78272856,54.52618686,337304,1903147136,,美的集团,0.01546,0.018611257568488027
12,2024/1/17 15:00,szse.000333,54.2483858,54.88062888,53.99931824,53.99931824,269141,1530395136,,美的集团,0.01546,-0.009662671284034197
13,2024/1/18 15:00,szse.000333,54.40165674,54.59324633,52.76357289,54.02805905,390231,2175726592,,美的集团,0.01546,0.0005322439419006564
14,2024/1/19 15:00,szse.000333,53.64487988,54.21964499,53.51076826,53.77899149,299370,1681993856,,美的集团,0.01546,-0.004609966827968104
15,2024/1/22 15:00,szse.000333,53.52992759,54.27712296,52.76357289,53.0126368,359803,2017295232,,美的集团,0.01546,-0.014250075517732608
16,2024/1/23 15:00,szse.000333,53.18506706,54.30586012,52.49534601,54.00889973,288485,1612570240,,美的集团,0.01546,0.018792932971030796
17,2024/1/24 15:00,szse.000333,53.78857298,55.02431833,53.6640392,54.78483226,264637,1503303936,,美的集团,0.01546,0.014366753144000821
18,2024/1/25 15:00,szse.000333,54.89020671,55.07221847,53.87478811,53.98015891,249636,1412367232,,美的集团,0.01546,-0.014687885620989993
19,2024/1/26 15:00,szse.000333,53.98015891,55.32128237,53.98015891,55.09137414,327457,1874299648,,美的集团,0.01546,0.020585623540914533
20,2024/1/29 15:00,szse.000333,55.46497548,56.97852554,55.2638044,56.22174868,374987,2204469248,,美的集团,0.01546,0.020518176532091204
21,2024/1/30 15:00,szse.000333,56.23133017,56.71030231,55.56076844,55.77151736,273733,1604993024,,美的集团,0.01546,-0.008008134406537248
22,2024/1/31 15:00,szse.000333,55.47455331,56.46123475,55.00515901,55.80025451,255442,1486711040,,美的集团,0.01546,0.0005152657012092998
23,2024/2/1 15:00,szse.000333,55.78109519,56.95936622,55.56076844,56.33670463,303402,1785789312,,美的集团,0.01546,0.009613757584275184
24,2024/2/2 15:00,szse.000333,56.03974059,56.40376044,54.8997882,55.80025451,289505,1687829376,,美的集团,0.01546,-0.009522213333620022
25,2024/2/5 15:00,szse.000333,55.56076844,57.09347784,55.38833818,56.94978839,461603,2724269056,,美的集团,0.01546,0.0206008716285333
26,2024/2/6 15:00,szse.000333,56.76777663,58.23343387,56.53787205,57.42876053,379464,2279549184,,美的集团,0.01546,0.00841042879246423
27,2024/2/7 15:00,szse.000333,56.79651745,58.59745007,56.54744989,58.53997575,461959,2791586560,,美的集团,0.01546,0.0193494550421216
28,2024/2/8 15:00,szse.000333,58.71240601,59.7374061,57.45749769,57.75446173,347232,2112587904,,美的集团,0.01546,-0.013418420659321861
29,2024/2/19 15:00,szse.000333,59.10516302,59.10516302,57.29464891,58.05142212,356959,2157379584,,美的集团,0.01546,0.005141774005067878
30,2024/2/20 15:00,szse.000333,57.76403957,59.19137816,57.16053364,59.10516302,296309,1807531904,,美的集团,0.01546,0.018151853331375367
31,2024/2/21 15:00,szse.000333,58.43460129,59.9194142,58.12805942,59.11474086,277972,1719403904,,美的集团,0.01546,0.00016204743394010457
32,2024/2/22 15:00,szse.000333,58.63576872,59.19137816,58.46333845,58.76988033,192591,1180530944,,美的集团,0.01546,-0.005833748486130053
33,2024/2/23 15:00,szse.000333,59.0860037,59.48833854,56.82525461,57.11263716,430936,2580957184,,美的集团,0.01546,-0.0281988522129768
34,2024/2/26 15:00,szse.000333,57.33296391,58.91357344,57.33296391,57.76403957,340977,2070387072,,美的集团,0.01546,0.011405574009393238
