索引,code,name,block_name,weight,date
1,sse.601318,中国平安,zgpa,0.04169,2016-12-30
2,sse.601166,兴业银行,xyyh,0.02338,2016-12-30
3,sse.600016,民生银行,msyh,0.0233199999999999,2016-12-30
4,sse.600036,招商银行,zsyh,0.01972,2016-12-30
5,sse.600519,贵州茅台,gzmt,0.01824,2016-12-30
6,sse.601328,交通银行,jtyh,0.01722,2016-12-30
7,sse.600000,浦发银行,pfyh,0.0152299999999999,2016-12-30
8,szse.000002,万科A,wka,0.0152,2016-12-30
9,sse.601668,中国建筑,zgjz,0.01444,2016-12-30
10,sse.600837,海通证券,htzq,0.01385,2016-12-30
