索引,time,code,open,high,low,close,volume,amount,open_interest,name,weight,return
1,2023-01-03 15:00:00,szse.000333,47.435512012312465,47.645322930828456,46.7331015459763,47.32604544613021,163628.0,846525405.02,,美的集团,0.0136,
2,2023-01-04 15:00:00,szse.000333,47.15272338300829,49.10487714659192,47.1162345276142,49.03189943580375,261341.0,1390708574.95,,美的集团,0.0136,0.036044718581341506
3,2023-01-05 15:00:00,szse.000333,49.25995478201679,50.16305395302043,49.21434371277418,50.09007624223226,294216.0,1608128838.06,,美的集团,0.0136,0.021581395348837074
4,2023-01-06 15:00:00,szse.000333,50.14480952532339,50.3181315884453,49.17785485738009,49.269076995865305,195001.0,1058139217.16,,美的集团,0.0136,-0.016390457111637335
5,2023-01-09 15:00:00,szse.000333,49.351176920502006,49.67045440520027,48.71262195110549,49.36029913435053,204276.0,1101325466.48,,美的集团,0.0136,0.0018515089798185613
6,2023-01-10 15:00:00,szse.000333,49.25083256816827,49.62484333595765,48.73998859265105,48.803844089590704,154340.0,829875435.25,,美的集团,0.0136,-0.011273332101275235
7,2023-01-11 15:00:00,szse.000333,48.7582330203481,50.33637601614234,48.71262195110549,49.71606547444287,214610.0,1171606255.18,,美的集团,0.0136,0.01869158878504673
8,2023-01-12 15:00:00,szse.000333,49.533621197472435,50.17217616686895,49.269076995865305,49.96236524835296,145818.0,797908669.91,,美的集团,0.0136,0.004954128440367134
9,2023-01-13 15:00:00,szse.000333,50.05358738683817,51.08439755172111,49.71606547444287,51.03878648247851,265803.0,1471250757.18,,美的集团,0.0136,0.02154464122694888
10,2023-01-16 15:00:00,szse.000333,51.11176419326668,53.23724001997222,51.10264197941816,52.63517390596979,330180.0,1899010907.45,,美的集团,0.0136,0.031277926720286064
11,2023-01-17 15:00:00,szse.000333,52.626051692121266,53.07304017069883,52.1334521443011,52.90884032142544,188113.0,1087194816.99,,美的集团,0.0136,0.005199306759098743
12,2023-01-18 15:00:00,szse.000333,52.90884032142544,53.364951013851524,52.33414084896857,52.54395176748458,130357.0,751785488.09,,美的集团,0.0136,-0.006896551724137834
13,2023-01-19 15:00:00,szse.000333,52.416240773605274,52.49834069824196,51.722952521117634,52.3432630628171,194679.0,1110365666.91,,美的集团,0.0136,-0.0038194444444444864
14,2023-01-20 15:00:00,szse.000333,52.416240773605274,52.7628848998491,51.960130081179194,52.06959664736145,108608.0,621198692.31,,美的集团,0.0136,-0.005228302544440622
15,2023-01-30 15:00:00,szse.000333,52.397996345908226,52.98181803221361,50.71038678393173,50.765120067022856,256195.0,1445902234.07,,美的集团,0.0136,-0.025052557813594944
16,2023-01-31 15:00:00,szse.000333,50.537064720809816,51.221230759448936,50.17217616686895,50.35462044383939,232598.0,1290578245.2,,美的集团,0.0136,-0.008086253369272156
17,2023-02-01 15:00:00,szse.000333,50.43672036847608,51.0752753378726,49.67045440520027,50.62828685929503,267247.0,1474820029.11,,美的集团,0.0136,0.005434782608695565
18,2023-02-02 15:00:00,szse.000333,50.58267579005243,50.71950899778025,48.91331065577297,49.2234659266227,367678.0,1990832646.72,,美的集团,0.0136,-0.027747747747747686
19,2023-02-03 15:00:00,szse.000333,48.98628836656114,49.21434371277418,48.22002240328532,48.6305220264688,208300.0,1109569943.18,,美的集团,0.0136,-0.012045959970348297
20,2023-02-06 15:00:00,szse.000333,48.174411334042716,48.174411334042716,46.59626833824847,46.75134597367334,421856.0,2172641978.93,,美的集团,0.0136,-0.03864190583380245
21,2023-02-07 15:00:00,szse.000333,46.85169032600708,47.161845596856814,46.61451276594552,46.97940131988639,209008.0,1075310677.24,,美的集团,0.0136,0.004878048780488031
22,2023-02-08 15:00:00,szse.000333,46.87905696755264,46.979401319886385,46.395579633580994,46.53241284130882,191017.0,976761616.35,,美的集团,0.0136,-0.009514563106796436
23,2023-02-09 15:00:00,szse.000333,46.34084635048986,47.189212238402376,46.0580577211857,47.00676796143195,227382.0,1167989708.86,,美的集团,0.0136,0.010194079592236838
24,2023-02-10 15:00:00,szse.000333,46.84256811215856,47.207456666099425,46.78783482906743,47.08886788606864,139888.0,720948239.08,,美的集团,0.0136,0.0017465554046185439
