索引,code,name,block_name,weight,date
1,sse.600519,贵州茅台,gzmt,0.05815,2022-12-30
2,szse.300750,宁德时代,ndsd,0.03091,2022-12-30
3,sse.601318,中国平安,zgpa,0.0273,2022-12-30
4,sse.600036,招商银行,zsyh,0.02472,2022-12-30
5,szse.000858,五粮液,wly,0.0187999999999999,2022-12-30
6,sse.601012,隆基绿能,ljln,0.01374,2022-12-30
7,sse.601166,兴业银行,xyyh,0.01371,2022-12-30
8,szse.000333,美的集团,mdjt,0.0136,2022-12-30
9,sse.600900,长江电力,cjdl,0.0128,2022-12-30
10,szse.002594,比亚迪,byd,0.01249,2022-12-30
