索引,time,code,open,high,low,close,volume,amount,open_interest,name,weight,return
1,2015-01-05 15:00:00,szse.000002,9.76450844494611,10.37521432406018,9.64915289000234,10.11736073065646,6560835.0,9700711839.6,,万科A,0.016,
2,2015-01-06 15:00:00,szse.000002,9.907006483406057,10.171645697688824,9.533797335058571,9.744151582308971,3346346.0,4839615982.48,,万科A,0.016,-0.03688799463447345
3,2015-01-07 15:00:00,szse.000002,9.67629537351852,9.839150274615607,9.499869230663343,9.655938510881384,2642051.0,3772150818.76,,万科A,0.016,-0.009052924791086214
4,2015-01-08 15:00:00,szse.000002,9.717009098792792,9.750937203188018,9.133445703194901,9.221658774622489,2639394.0,3629554235.76,,万科A,0.016,-0.04497540407589595
5,2015-01-09 15:00:00,szse.000002,9.187730670227262,9.64915289000234,9.018090148251131,9.126660082315857,3294584.0,4521978433.18,,万科A,0.016,-0.010301692420897512
6,2015-01-12 15:00:00,szse.000002,9.038447010888268,9.038447010888268,8.651666620782688,8.902734593307361,2436341.0,3180962981.2,,万科A,0.016,-0.024535315985130368
7,2015-01-13 15:00:00,szse.000002,8.855235247154045,9.079160736162539,8.800950280121684,8.868806488912137,1664610.0,2187988117.96,,万科A,0.016,-0.003810975609755851
8,2015-01-14 15:00:00,szse.000002,8.868806488912137,9.024875769130176,8.73309407133123,8.889163351549271,1646818.0,2160267868.0,,万科A,0.016,0.002295332823259333
9,2015-01-15 15:00:00,szse.000002,8.909520214186408,9.384513675719575,8.821307142758819,9.343799950445304,2429686.0,3265535900.29,,万科A,0.016,0.05114503816793903
10,2015-01-16 15:00:00,szse.000002,9.343799950445304,9.343799950445304,9.085946357041584,9.17415942846917,2129475.0,2892247312.37,,万科A,0.016,-0.01815541031227319
11,2015-01-19 15:00:00,szse.000002,8.482026098806557,8.753450933968367,8.258100609798063,8.258100609798063,3603625.0,4483884648.33,,万科A,0.016,-0.09985207100591709
12,2015-01-20 15:00:00,szse.000002,8.2784574724352,8.54988230759701,8.183458780128566,8.380241785620878,2914688.0,3604938308.25,,万科A,0.016,0.014790468364831666
13,2015-01-21 15:00:00,szse.000002,8.366670543862787,8.957019560339724,8.210601263644747,8.855235247154045,3555294.0,4554004052.85,,万科A,0.016,0.05668016194331971
14,2015-01-22 15:00:00,szse.000002,8.834878384516909,9.26237249989676,8.767022175726456,9.214873153743444,3224727.0,4326297782.98,,万科A,0.016,0.0406130268199234
15,2015-01-23 15:00:00,szse.000002,9.208087532864399,9.56093981857475,9.024875769130176,9.445584263630982,3310408.0,4561752499.13,,万科A,0.016,0.025036818851251752
16,2015-01-26 15:00:00,szse.000002,9.493083609784298,9.499869230663343,9.11987446143681,9.296300604291986,2162685.0,2957275790.0,,万科A,0.016,-0.015804597701149503
17,2015-01-27 15:00:00,szse.000002,9.275943741654851,9.309871846050077,8.726308450452185,8.943448318581634,2804018.0,3704808999.09,,万科A,0.016,-0.03795620437956193
18,2015-01-28 15:00:00,szse.000002,8.895948972428316,9.00451890649304,8.739879692210277,8.821307142758819,1561743.0,2035823385.93,,万科A,0.016,-0.013657056145675361
19,2015-01-29 15:00:00,szse.000002,8.617738516387462,8.936662697702587,8.5634535493551,8.828092763637864,1468303.0,1903301553.49,,万科A,0.016,0.0007692307692306333
