Date,Predicted Volatility,Predicted Max Drawdown,Predicted Sharpe Ratio
2023-03-10 15:00:00,4.1961255,3.560952,3.0729408
2023-03-13 15:00:00,4.1968613,3.545294,3.0387828
2023-03-14 15:00:00,4.1971292,3.5299785,3.0065951
2023-03-15 15:00:00,4.19711,3.515154,2.9756057
2023-03-16 15:00:00,4.1964345,3.5021226,2.9498703
2023-03-17 15:00:00,4.195637,3.4902232,2.9257221
2023-03-20 15:00:00,4.1943107,3.480582,2.9075296
2023-03-21 15:00:00,4.193226,3.471714,2.8891892
2023-03-22 15:00:00,4.1921225,3.4638877,2.873163
2023-03-23 15:00:00,4.1906548,3.4580808,2.8626432
2023-03-24 15:00:00,4.189268,3.4535716,2.854098
2023-03-27 15:00:00,4.1881213,3.449771,2.8462524
2023-03-28 15:00:00,4.1879106,3.4444766,2.8325038
2023-03-29 15:00:00,4.188175,3.4377577,2.8156762
2023-03-30 15:00:00,4.1883326,3.4307368,2.7997558
2023-03-31 15:00:00,4.187827,3.4252224,2.7894762
2023-04-03 15:00:00,4.187918,3.4188008,2.7744327
2023-04-04 15:00:00,4.187626,3.4131715,2.7629337
2023-04-06 15:00:00,4.187755,3.4067485,2.7479675
2023-04-07 15:00:00,4.1880937,3.3994923,2.7310333
2023-04-10 15:00:00,4.186506,3.3968112,2.7306275
2023-04-11 15:00:00,4.1848187,3.3964515,2.7328284
2023-04-12 15:00:00,4.1825194,3.399592,2.743545
2023-04-13 15:00:00,4.180407,3.4047096,2.7566466
2023-04-14 15:00:00,4.17921,3.4094853,2.7659621
2023-04-17 15:00:00,4.1786513,3.413458,2.7728422
2023-04-18 15:00:00,4.1781945,3.417385,2.7806978
2023-04-19 15:00:00,4.1780114,3.4209003,2.787437
2023-04-20 15:00:00,4.178981,3.4214323,2.7846932
2023-04-21 15:00:00,4.180279,3.419762,2.7780905
2023-04-24 15:00:00,4.181773,3.4160347,2.7675385
2023-04-25 15:00:00,4.1839614,3.4088664,2.7480252
2023-04-26 15:00:00,4.1859336,3.399884,2.7265646
2023-04-27 15:00:00,4.187562,3.3898387,2.7039819
2023-04-28 15:00:00,4.1883607,3.3804905,2.6850863
2023-05-04 15:00:00,4.1880803,3.373466,2.6732306
2023-05-05 15:00:00,4.187792,3.367168,2.6608822
2023-05-08 15:00:00,4.186017,3.3651676,2.6618607
2023-05-09 15:00:00,4.183921,3.366138,2.6677697
2023-05-10 15:00:00,4.182275,3.3681993,2.6733224
2023-05-11 15:00:00,4.18142,3.3696885,2.6753576
2023-05-12 15:00:00,4.180961,3.370654,2.6762567
2023-05-15 15:00:00,4.181284,3.3697762,2.671703
2023-05-16 15:00:00,4.1817865,3.3677971,2.6657221
2023-05-17 15:00:00,4.1826,3.3643842,2.656435
2023-05-18 15:00:00,4.183623,3.359522,2.644077
2023-05-19 15:00:00,4.1848345,3.3531158,2.6283321
2023-05-22 15:00:00,4.185975,3.3456445,2.6109529
2023-05-23 15:00:00,4.1864724,3.3387418,2.5968919
2023-05-24 15:00:00,4.186909,3.3317451,2.5818686
2023-05-25 15:00:00,4.1880493,3.322676,2.559722
2023-05-26 15:00:00,4.1888456,3.3132846,2.5388947
2023-05-29 15:00:00,4.1891937,3.3043587,2.5202572
2023-05-30 15:00:00,4.189585,3.295224,2.5002916
2023-05-31 15:00:00,4.1889534,3.2883863,2.4883528
2023-06-01 15:00:00,4.188249,3.2826927,2.477511
